DB00756,CHEMBL496
DB00467,CHEMBL826
DB00903,CHEMBL456
DB00771,CHEMBL620
DB01178,CHEMBL1200714
DB00238,CHEMBL57
DB00634,CHEMBL455
DB00927,CHEMBL902
DB00443,CHEMBL632
DB00355,CHEMBL158
DB01009,CHEMBL571
DB01222,CHEMBL1370
DB01044,CHEMBL31
DB04920,CHEMBL1237132
DB00369,CHEMBL152
DB01262,CHEMBL1201129
DB00672,CHEMBL498
DB00596,CHEMBL1876307
DB01169,CHEMBL1200978
DB00434,CHEMBL516
DB01248,CHEMBL92
DB01140,CHEMBL1644
DB01006,CHEMBL1444
DB00797,CHEMBL770
DB00780,CHEMBL1089
DB00391,CHEMBL26
DB00957,CHEMBL1200934
DB00141,CHEMBL447878
DB00683,CHEMBL655
DB01297,CHEMBL6995
DB06706,CHEMBL1697841
DB01123,CHEMBL55400
DB06201,CHEMBL1201754
DB00340,CHEMBL1201342
DB00553,CHEMBL416
DB01043,CHEMBL807
DB01249,CHEMBL1200507
DB00929,CHEMBL606
DB09009,CHEMBL1093
DB04894,CHEMBL3349523
DB00418,CHEMBL447
DB01130,CHEMBL1200386
DB01656,CHEMBL193240
DB00361,CHEMBL607994
DB00764,CHEMBL1201404
DB00211,CHEMBL1201212
DB01035,CHEMBL640
DB00566,CHEMBL28721
DB00935,CHEMBL762
DB00913,CHEMBL1201347
DB00958,CHEMBL1351
DB01162,CHEMBL611
DB00728,CHEMBL1201244
DB01128,CHEMBL409
DB00161,CHEMBL43068
DB00216,CHEMBL1510
DB00291,CHEMBL515
DB01242,CHEMBL415
DB00622,CHEMBL1484
DB00690,CHEMBL968
DB00915,CHEMBL660
DB04898,CHEMBL522038
DB01209,CHEMBL1685
DB00947,CHEMBL1712246
DB00954,CHEMBL1237072
DB06751,CHEMBL551978
DB00274,CHEMBL1201195
DB00210,CHEMBL1265
DB00171,CHEMBL14249
DB00730,CHEMBL625
DB00854,CHEMBL592
DB01612,CHEMBL3188202
DB01213,CHEMBL1308
DB00584,CHEMBL578
DB00812,CHEMBL101
DB06210,CHEMBL461101
DB00431,CHEMBL15891
DB00231,CHEMBL967
DB00644,CHEMBL1981292
DB00175,CHEMBL1144
DB00700,CHEMBL1095097
DB04841,CHEMBL30008
DB00412,CHEMBL121
DB09018,CHEMBL399510
DB00655,CHEMBL1405
DB00187,CHEMBL768
DB08871,CHEMBL1683590
DB00804,CHEMBL1123
DB00842,CHEMBL568
DB01088,CHEMBL494
DB08911,CHEMBL2103875
